file,verdict,likely_front,failure_cat,max_ring,any_feature_a,flange_hough,total_marks,max_marks_hole,best_circ,top8_circs,n_holes,ok_corners,low_circ_corners,gate_miss_corners,hough_miss_corners,oof_corners
20260906_095012_CAM#000080_NG_NO_FEATURE.jpg,OK,YES,-,3,True,Y,4,2,0.896,0.90|0.86|0.85|0.81|0.00|0.00|0.00|0.00,10,4,0,6,29,1
20260906_095012_CAM#000081_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8,0,0,2,29,1
20260906_095013_CAM#000083_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,9,0,0,0,35,1
20260906_095014_CAM#000085_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,1,1,0.879,0.88|0.00|0.00|0.00|0.00|0.00|0.00|0.00,9,1,0,5,29,1
20260906_095015_CAM#000086_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,1,1,0.853,0.85|0.00|0.00|0.00|0.00|0.00|0.00|0.00,11,1,0,5,35,3
20260906_095015_CAM#000087_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,2,1,0.867,0.87|0.83|0.00|0.00|0.00|0.00|0.00|0.00,9,2,0,7,24,3
20260906_095016_CAM#000088_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,5,0,0,1,18,1
20260906_095016_CAM#000089_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,6,0,0,1,22,1
20260906_095018_CAM#000091_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8,0,0,5,26,1
20260906_095019_CAM#000093_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,9,0,0,1,35,0
20260906_095020_CAM#000094_NG_NO_FEATURE.jpg,OK,YES,-,4,True,Y,9,3,0.881,0.88|0.88|0.88|0.86|0.86|0.85|0.85|0.85,6,9,2,0,12,1
20260906_095020_CAM#000095_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,2,1,0.869,0.87|0.78|0.00|0.00|0.00|0.00|0.00|0.00,7,2,0,0,25,1
20260906_095021_CAM#000096_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,1,1,0.875,0.88|0.00|0.00|0.00|0.00|0.00|0.00|0.00,9,1,0,0,34,1
20260906_095022_CAM#000097_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,1,1,0.879,0.88|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8,1,0,0,29,2
20260906_095024_CAM#000098_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2,0,0,0,8,0
20260906_095024_CAM#000099_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8,0,0,0,31,1
20260906_095025_CAM#000100_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,1,1,0.798,0.80|0.00|0.00|0.00|0.00|0.00|0.00|0.00,3,1,0,2,7,2
20260906_095025_CAM#000101_NG_NO_FEATURE.jpg,OK,YES,-,3,True,Y,7,2,0.887,0.89|0.88|0.88|0.87|0.87|0.86|0.86|0.68,7,7,2,3,15,1
